Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-11-17,20.2637,20.3023,19.7643,19.8335,1721554.3905722
2016-11-18,19.7643,19.8173,19.3412,19.4795,4838161.3912042
2016-11-21,19.6026,19.7481,19.3878,19.6259,4479394.5002591
2016-11-22,19.7256,19.8568,19.5873,19.6871,2156736.7505764
2016-11-23,19.6412,19.8101,19.4563,19.7876,2351501.1420454
2016-11-24,19.7796,19.9717,19.6186,19.8945,2510969.1190651
2016-11-25,19.9404,19.9565,19.5647,19.7876,2008073.5446421
2016-11-28,19.7481,19.7481,19.4956,19.5414,1743954.7077034
2016-11-29,19.4723,19.6799,19.3797,19.5254,2380966.2128368
2016-11-30,19.5793,19.7481,19.5647,19.6412,2882164.6051503
2016-12-01,19.6107,19.7023,19.3107,19.3645,2732108.8395363
2016-12-02,19.4498,19.8712,19.3412,19.8487,4683393.3031031
2016-12-05,19.8639,20.7326,19.8639,20.6095,3071465.6865907
2016-12-06,20.6706,21.2707,20.6095,20.9015,6664565.5787925
2016-12-07,20.8701,21.6542,20.8556,21.4701,7520484.9788393
2016-12-08,21.6696,21.7926,20.9473,21.6696,6814076.7541033
2016-12-09,21.5851,21.6856,20.924,20.9786,5073385.8581487
2016-12-12,20.932,20.9553,20.5557,20.7092,3895021.7510132
2016-12-13,20.7245,21.5473,20.7092,21.4396,4876936.7181389
2016-12-14,21.4396,21.7081,21.1781,21.639,4269050.8473749
2016-12-15,21.516,21.5851,21.2393,21.3776,1768466.2447775
2016-12-16,21.3471,21.5851,21.101,21.3623,6529131.689814
2016-12-19,21.0705,21.5545,20.9095,21.4773,2848697.1686371
2016-12-20,21.577,21.8625,21.4853,21.5006,2011094.901804
2016-12-21,21.516,21.6929,21.101,21.2159,1901994.0676946
2016-12-22,21.1854,21.746,20.9553,21.746,1693009.4038549
2016-12-23,21.5626,21.8465,21.3929,21.6309,1623715.8828713
2016-12-27,21.5232,21.639,21.462,21.5087,635284.48245932
2016-12-28,21.516,21.7081,21.2707,21.4396,1437840.2495711
2016-12-29,21.5087,21.6463,21.3318,21.5006,970872.7148809
2016-12-30,21.5232,21.8078,21.4082,21.6236,991095.91415597
2017-01-02,21.5545,21.7774,21.4082,21.7081,782248.01957052
2017-01-03,21.7541,23.0142,21.7541,22.9218,4608929.9043091
2017-01-04,22.9371,23.3602,22.8912,23.3602,7080921.0292718
2017-01-05,23.2146,23.4753,23.0762,23.283,3604891.8886312
2017-01-09,23.283,23.4518,23.1221,23.4374,2465366.5196299
2017-01-10,23.3143,23.8137,23.283,23.283,2841204.7002183
2017-01-11,23.3521,23.7833,23.1535,23.6682,3749530.3484203
2017-01-12,23.6288,23.7446,23.1221,23.1221,2676678.7475055
2017-01-13,23.1301,23.3602,22.7682,22.9532,2567222.3133351
2017-01-16,22.6693,23.3449,22.4923,23.0224,3414317.6097695
2017-01-17,23.0224,23.0224,22.5687,22.6299,4180919.2266546
2017-01-18,22.6299,22.9612,22.5148,22.6765,3261474.2380826
2017-01-19,22.6765,23.0529,22.5535,23.0529,2232164.9942913
2017-01-20,22.9765,23.3916,22.9371,22.9612,2718691.7756952
2017-01-23,22.9073,22.9218,22.4762,22.4762,1541967.6562536
2017-01-24,22.5462,23.0529,22.2839,22.9146,4024593.2124121
2017-01-25,23.0142,24.3591,23.0142,24.1982,5001067.2499327
2017-01-26,24.3591,24.774,24.2979,24.2979,4857125.0699833
2017-01-27,24.2135,24.5512,23.829,23.9063,1714898.701318
2017-01-30,23.8605,24.1902,23.5452,23.5452,1371055.8227245
2017-01-31,23.5138,23.9674,23.5138,23.5685,2093857.7076168
2017-02-01,23.8057,24.121,23.7212,23.9368,4372384.9923827
2017-02-02,23.829,23.9899,23.5138,23.5138,1859504.8338288
2017-02-03,23.5291,23.9601,23.5219,23.8982,2458030.7141751
2017-02-06,23.9135,24.6204,23.9135,24.3591,3015875.2015254
2017-02-07,24.3591,24.3591,24.0059,24.0518,2598656.8613874
2017-02-08,24.0518,24.2288,23.8982,23.9368,3450373.7152585
2017-02-09,24.059,24.8971,24.059,24.7901,2672344.4055028
2017-02-10,24.9744,25.7271,24.9662,25.5887,8703366.2014355
2017-02-13,25.7038,26.2652,25.5887,25.7425,3958096.0009992
2017-02-14,25.8961,26.0648,25.4433,25.7425,3040073.4126714
2017-02-15,25.8961,26.8635,25.6958,26.5716,5227701.3643539
2017-02-16,26.5113,26.8635,26.1647,26.8491,7626256.1032864
2017-02-17,26.6803,26.7879,26.1108,26.2185,5137914.8356573
2017-02-20,26.319,26.4107,26.0272,26.0415,1119427.7487687
2017-02-21,26.0415,27.0405,26.0415,26.9641,4653372.4517969
2017-02-22,27.0486,27.3179,26.6649,27.2408,4778191.8032894
2017-02-23,27.0871,27.3405,26.8635,26.8635,2225764.1931927
2017-02-24,26.7485,26.8949,25.9876,26.0648,2360634.8415152
2017-02-27,26.0648,26.4027,25.7038,25.8583,1973432.3792562
2017-02-28,26.0109,26.0191,25.4578,25.5727,3099252.2256254
2017-03-01,25.6813,27.2102,25.6813,27.203,4210731.1940089
2017-03-02,27.2175,27.433,26.726,27.1949,3079518.9089519
2017-03-03,26.8572,27.026,26.5877,26.5877,3166526.5350737
2017-03-06,26.5877,27.2408,25.9733,26.319,3230249.8173391
2017-03-07,26.2185,26.3883,25.6274,25.6274,2655218.4081579
2017-03-08,25.5887,25.7118,24.9968,25.1891,2954424.7755941
2017-03-09,25.3346,25.5808,24.8971,25.243,3577248.3356351
2017-03-10,25.5043,25.9958,25.1047,25.1047,2602547.3249922
2017-03-13,25.1047,25.7577,25.0821,25.7038,2246037.1267421
2017-03-14,25.6885,25.7271,25.3659,25.4351,2469310.4475795
2017-03-15,25.2663,25.3507,24.9744,24.9889,3031014.3146131
2017-03-16,25.4351,25.781,25.2969,25.773,3608205.4346545
2017-03-17,25.7425,26.1035,25.7425,25.8879,7129190.6291647
2017-03-20,25.8879,25.8879,25.2969,25.5269,2578401.3348341
2017-03-21,25.5349,26.2185,25.5349,25.6813,3532619.2846188
2017-03-22,25.3579,25.4578,24.8513,24.9124,3136099.1060753
2017-03-23,25.0508,25.3121,24.6357,25.0894,2204807.4133722
2017-03-24,25.0355,25.5727,24.9429,25.5727,1448809.1437614
2017-03-27,25.0894,25.3346,24.8891,25.2807,1261818.2193608
2017-03-28,25.4971,25.4971,25.1433,25.4578,1066130.0137472
2017-03-29,25.5727,25.6274,24.9429,25.3579,1974455.6619492
2017-03-30,25.3579,25.5662,24.9357,24.9357,2377376.6415913
2017-03-31,24.9591,25.181,24.6357,24.6357,2521131.0746552
2017-04-03,24.7588,25.3894,24.7129,25.3579,1126733.713659
2017-04-04,25.2743,25.9733,25.1513,25.781,2295834.8122118
2017-04-05,25.8349,26.1188,25.7118,25.9733,2429136.344181
2017-04-06,25.781,26.1269,25.5116,26.1188,1946574.6277934
2017-04-07,25.904,25.9733,25.481,25.666,2263828.3200053
2017-04-10,25.7425,25.8728,25.5043,25.5043,1512301.1616515
2017-04-11,25.3894,25.7964,25.0508,25.2807,2029571.1846953
2017-04-12,25.2807,25.489,24.5127,24.5899,2679450.1899392
2017-04-13,24.5899,24.8126,24.3671,24.5594,2633729.4716027
2017-04-18,24.8199,25.1118,24.6823,24.7435,4072284.6513666
2017-04-19,24.9662,25.5429,24.8819,25.5196,3194526.9314877
2017-04-20,25.5196,25.6732,25.2124,25.5043,2447797.8872441
2017-04-21,25.5887,25.7271,24.9357,25.0894,1320160.2531502
2017-04-24,25.5116,25.7118,25.1576,25.4971,2997643.8599348
2017-04-25,25.4505,26.3883,25.4505,26.2571,3796442.2026256
2017-04-26,26.2652,27.0871,26.0576,26.9182,5070649.229707
2017-04-27,26.78,27.7411,26.7718,27.5408,4333434.3521313
2017-04-28,27.4636,27.6638,26.8572,27.1177,2586623.6537278
2017-05-02,27.1258,27.326,26.8715,27.326,1951084.2831128
2017-05-04,27.3179,28.3861,27.2867,28.0475,6446883.6337399
2017-05-05,27.8326,28.148,27.725,28.0788,2780614.677232
2017-05-08,28.0861,28.3088,27.2641,27.433,2953826.720946
2017-05-09,27.4716,28.6547,27.4177,28.6547,3912584.1666148
2017-05-10,28.4319,28.6088,27.4949,27.7096,4191975.1558249
2017-05-11,27.7411,28.3088,27.1636,27.2102,2584186.6742886
2017-05-12,27.3179,27.6252,27.0486,27.5022,2203642.3879974
2017-05-15,27.6638,28.0016,27.3333,27.5102,1703630.1581252
2017-05-16,27.5102,27.733,26.5186,27.203,3840039.2674507
2017-05-17,27.0871,27.2641,26.5652,26.7718,3648285.0429318
2017-05-18,26.6649,26.8796,26.1807,26.5491,1914740.96219
2017-05-19,26.5491,26.8339,26.3344,26.5491,2799044.9559195
2017-05-22,26.8715,27.4249,26.6336,27.2408,2829200.0897664
2017-05-23,27.2408,27.3486,26.4566,26.5716,2165310.9394606
2017-05-24,26.5491,27.794,26.3568,27.794,4359875.5790469
2017-05-25,27.9244,28.3088,27.5705,27.7017,3671294.6049229
2017-05-26,27.5948,28.0403,27.3792,27.7411,2890998.6556175
2017-05-29,27.6638,27.794,27.3944,27.4491,581453.34734625
2017-05-30,27.3405,27.5641,26.9335,27.0719,1374039.8791807
2017-05-31,27.0638,28.0555,26.9866,28.0555,9077159.0599945
2017-06-01,27.9791,27.9791,27.0952,27.0952,3006516.4544646
2017-06-02,27.3486,27.61,27.203,27.4869,1999694.5627844
2017-06-05,27.4869,27.6557,27.0952,27.3944,2339889.4323603
2017-06-06,27.1563,27.794,27.0719,27.6181,2206018.4429506
2017-06-07,27.5641,28.2397,27.5175,27.6252,3056021.951073
2017-06-08,27.5175,28.1167,27.4491,28.1167,2238938.8024469
2017-06-09,28.0475,28.6168,27.5102,27.5479,2929908.2650927
2017-06-12,27.5479,27.6324,26.6875,26.6875,2447362.7123442
